Horizonte (meses),IPC_ECOICOP Índice General,Ira,Miedo,Tristeza,Alegria
1,0.8317832488878081,0.025924527854136986,0.03870759979454694,0.09035476240969122,0.013229861053816959
2,0.08687157123427369,0.6716187200566738,0.08184270158247214,0.09166651512651898,0.06800049200006154
3,0.08629541035676927,0.09273632041397042,0.6930272080101753,0.09545279515025595,0.03248826606882915
4,0.12217508611029435,0.2537365148633015,0.06477696165181539,0.5335222449911056,0.025789192383483206
5,0.04407999495201656,0.08610601657211411,0.052419490123200595,0.08513187800599094,0.7322626203466779
