Horizonte (meses),IPC_ECOICOP Índice General,Ira,Miedo,Tristeza,Alegria
1,0.8992825601818979,0.0035538781208424085,0.00394942155637557,0.09280333639736409,0.0004108037435201958
2,0.09364984148627391,0.8955776444326564,0.0037094419346890145,0.005523462812333913,0.001539609334047032
3,0.0041873298581817705,0.1134505524397988,0.8588447488969384,0.023331858565520152,0.00018551023956109487
4,0.06877226081510406,0.2676311724792359,0.050824706953018384,0.5879825593034039,0.024789300449237675
5,0.019663631075643406,0.032660847781719654,0.0006904686535611359,0.00563420235653631,0.9413508501325396
