Horizonte (meses),IPC_ECOICOP Índice General,Ira,Miedo,Tristeza,Alegria
1,0.8420200005658259,0.019988432882181904,0.03680991788647349,0.09128275983168362,0.009898888833835218
2,0.09981836094133653,0.7524787322344969,0.07431221058716866,0.035308036757039855,0.03808265947995825
3,0.06609114304967803,0.09899010109704737,0.7201306224888758,0.08219699336815381,0.032591139996244994
4,0.08103941380616192,0.2668875911169712,0.06041892555451021,0.5645350344749122,0.027119035047444565
5,0.02142057999132228,0.09113876037275172,0.019762186097939147,0.07401822306428935,0.7936602504736975
