Horizonte (meses),IPC_ECOICOP Índice General,Ira,Miedo,Tristeza,Alegria
1,0.8524316152050662,0.018985272654043404,0.03420457580264495,0.08455400714223162,0.009824529196014068
2,0.10705271060835032,0.8286018394984762,0.01717841488643136,0.0050599578901567846,0.042107077116585456
3,0.036743468663295226,0.10871304204882515,0.790293319996445,0.05502276559351729,0.0092274036979174
4,0.08407362882994787,0.26173844560079695,0.049908408157546984,0.5797946568889641,0.024484860522744033
5,0.019023234559197726,0.0650446021061943,0.0025007380500789603,0.038628703313210395,0.8748027219713187
